act_fn,alpha_int,alpha_float,correct,total_count,training_ms,testing_ms,alloc
ReLU,8,0.008,2033,10000,14415,1695,arena
ReLU,32,0.032,5915,10000,14421,1656,arena
ReLU,64,0.064,8882,10000,14409,1655,arena
ReLU,128,0.128,9384,10000,14368,1650,arena
ReLU,256,0.256,9616,10000,14405,1646,arena
ReLU,384,0.384,9663,10000,14449,1649,arena
ReLU,512,0.512,9699,10000,14381,1653,arena
ReLU,768,0.768,9694,10000,14394,1655,arena
ReLU,1000,1.0,9677,10000,14500,1653,arena
ReLU,412,0.412,9691,10000,14815,1657,arena
ReLU,422,0.422,9671,10000,16148,1718,arena
ReLU,432,0.432,9657,10000,14623,1663,arena
ReLU,442,0.442,9694,10000,14530,1673,arena
ReLU,452,0.452,9705,10000,14592,1659,arena
ReLU,462,0.462,9691,10000,14685,1671,arena
ReLU,472,0.472,9712,10000,14583,1692,arena
ReLU,482,0.482,9708,10000,14694,1685,arena
ReLU,492,0.492,9706,10000,14471,1650,arena
ReLU,502,0.502,9701,10000,14852,1665,arena
ReLU,522,0.522,9707,10000,14971,1689,arena
ReLU,532,0.532,9721,10000,15041,1709,arena
ReLU,542,0.542,9728,10000,16586,1778,arena
ReLU,552,0.552,9712,10000,15355,1654,arena
ReLU,562,0.562,9704,10000,17721,1704,arena
ReLU,572,0.572,9723,10000,16243,1696,arena
ReLU,582,0.582,9733,10000,16312,1711,arena
ReLU,592,0.592,9667,10000,16183,1664,arena
ReLU,602,0.602,9726,10000,16154,1666,arena
ReLU,612,0.612,9728,10000,16147,1669,arena
GELUFast,8,0.008,1548,10000,16327,1697,arena
GELUFast,32,0.032,1792,10000,14970,1681,arena
GELUFast,64,0.064,8535,10000,14780,1672,arena
GELUFast,128,0.128,9350,10000,14811,1668,arena
GELUFast,256,0.256,9629,10000,15057,1673,arena
GELUFast,384,0.384,9669,10000,14747,1668,arena
GELUFast,512,0.512,6865,10000,14693,1671,arena
GELUFast,768,0.768,1028,10000,14693,1664,arena
GELUFast,1000,1.0,892,10000,14762,1668,arena
GELUFast,284,0.284,9645,10000,16197,1726,arena
GELUFast,294,0.294,9661,10000,14801,1667,arena
GELUFast,304,0.304,9665,10000,15076,1722,arena
GELUFast,314,0.314,9677,10000,15062,1673,arena
GELUFast,324,0.324,9674,10000,16901,1737,arena
GELUFast,334,0.334,9668,10000,15521,1682,arena
GELUFast,344,0.344,9684,10000,15541,1717,arena
GELUFast,354,0.354,9675,10000,15449,1674,arena
GELUFast,364,0.364,9678,10000,15259,1682,arena
GELUFast,374,0.374,9671,10000,14942,1674,arena
GELUFast,394,0.394,9677,10000,15367,1693,arena
GELUFast,404,0.404,9702,10000,15127,1708,arena
GELUFast,414,0.414,9699,10000,14841,1672,arena
GELUFast,424,0.424,9644,10000,14869,1675,arena
GELUFast,434,0.434,9651,10000,14844,1678,arena
GELUFast,444,0.444,9139,10000,14762,1677,arena
GELUFast,454,0.454,9678,10000,14924,1672,arena
GELUFast,464,0.464,9656,10000,14790,1701,arena
GELUFast,474,0.474,9609,10000,14897,1686,arena
GELUFast,484,0.484,6272,10000,14820,1670,arena
Tanh,8,0.008,2609,10000,14750,1666,arena
Tanh,32,0.032,6495,10000,14774,1671,arena
Tanh,64,0.064,8501,10000,14743,1665,arena
Tanh,128,0.128,9029,10000,14868,1667,arena
Tanh,256,0.256,9294,10000,14794,1671,arena
Tanh,384,0.384,9428,10000,14857,1670,arena
Tanh,512,0.512,9491,10000,14909,1675,arena
Tanh,768,0.768,9597,10000,14869,1684,arena
Tanh,1000,1.0,9657,10000,14724,1666,arena
Tanh,900,0.9,9639,10000,14883,1697,arena
Tanh,910,0.91,9631,10000,14687,1669,arena
Tanh,920,0.92,9639,10000,14728,1663,arena
Tanh,930,0.93,9643,10000,14679,1666,arena
Tanh,940,0.94,9646,10000,14639,1665,arena
Tanh,950,0.95,9639,10000,14808,1676,arena
Tanh,960,0.96,9643,10000,14804,1671,arena
Tanh,970,0.97,9645,10000,14719,1671,arena
Tanh,980,0.98,9649,10000,14721,1661,arena
Tanh,990,0.99,9647,10000,14742,1667,arena
